"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1970","black_1970","total_2010","black_2010","jail_2010"
12492,-392218,-1079078,1.213,"","","","","","",3.284,0.041,12.200,0.047,0.034
12480,-61420,-1053632,4.805,48.240,12.976,"","",0.753,"",32.427,1.428,12.289,0.082,0.047
11879,-850245,-773727,0.264,"","","","",0.002,0.001,15.697,0.023,12.544,0.143,""
11219,-1384610,-595605,0.724,"","","","","",0.002,25.944,0.167,13.283,0.066,0.046
10121,-1766299,-366591,16.488,"","","","","",0.031,955.721,33.178,31.489,1.443,0.072
8495,1796135,-61240,11.845,102.695,32.267,60.723,16.510,4.276,0.394,12.974,5.354,13.530,4.362,0.029
12127,-621231,-850065,0.631,"","","","",0.004,0.002,37.566,0.203,15.283,0.102,0.012
6925,-1740853,167774,7.670,"","","","","","",74.129,0.495,16.553,0.317,0.319
12597,1516229,-1206308,4.057,"","","","",0.339,0.101,5794.676,231.486,22.302,2.407,0.108
11698,-875691,-722835,0.456,"","","","",0.003,0.002,11.301,0.061,16.423,0.293,0.408
12129,-570339,-850065,1.001,"","","","",0.007,0.003,38.997,0.040,19.780,0.181,0.052
6604,-1766299,218666,10.684,"","","","","","",77.068,0.564,15.009,0.507,0.070
2231,778297,931152,1.193,0.195,"","","","",0.002,11.573,0.024,16.490,0.158,0.030
11514,-926583,-671943,22.213,"","","","",0.082,0.077,12.975,0.071,18.856,0.336,0.469
12027,727405,-799173,1.131,259.453,127.532,"","",0.298,0.022,35.742,5.793,16.993,5.226,0.064
6602,-1817191,218666,10.377,"","","","","","",77.068,0.564,20.448,0.315,0.095
11325,-1181042,-621051,4.564,"","","","","","",42.724,0.171,19.838,0.090,0.210
11326,-1155596,-621051,4.696,"","","","","","",43.961,0.176,20.412,0.093,0.216
9852,-1689962,-315700,22.658,"","","","","",0.024,1515.700,49.612,23.005,0.910,0.115
9700,-2071651,-290254,6.589,"","","","","",0.051,15.692,0.488,21.434,0.203,0.053
281,1974257,1338288,78.666,1168.450,"",778.242,"","",0.091,323.619,2.660,23.253,0.079,0.038
12563,-137758,-1155416,147.509,11.548,1.474,"","",0.171,1.615,29.759,"",18.260,0.351,0.072
12282,396607,-900957,26.699,257.505,125.414,"","",20.730,0.399,137.966,38.373,25.965,16.744,0.258
279,-824799,1338288,"","","","","","","",69.892,0.079,27.099,0.033,0.043
12028,1007310,-799173,0.517,255.334,130.458,"","",0.187,0.010,39.166,5.017,20.353,0.398,0.154
2229,701959,931152,5.440,0.318,"","","","",0.002,37.099,0.011,26.030,0.129,0.096
550,116702,1261950,0.791,752.785,"",501.523,"","",0.001,35.340,0.046,28.636,0.218,0.060
1483,345715,1058382,2.008,2.386,"","","","",0.006,41.745,0.011,27.840,0.066,0.084
1964,2101487,982044,11.709,"","","","","",0.019,8.632,0.005,27.886,0.143,0.101
4346,-1282826,574909,364.043,"","","","","","",8997.172,13.814,38.312,0.004,0.129
566,-1969867,1236504,20.463,"","","","","","",867.801,1.782,17.631,"",0.066
762,320269,1211058,0.833,0.938,"","","","","",44.150,0.073,27.151,0.071,0.043
12256,-494001,-900957,0.757,"","","","","",0.186,161.461,4.226,34.289,0.281,0.023
12196,-519447,-875511,"","","","","","","",162.310,4.248,34.469,0.283,0.023
12504,-86866,-1079078,1.545,14.921,2.532,"","",0.226,0.006,34.634,1.389,29.388,0.273,0.209
12240,651067,-875511,81.755,40.962,11.095,"","",51.831,4.947,242.618,55.574,38.710,22.320,""
1364,803743,1083828,6.335,2.344,"","","","",0.032,67.393,0.050,30.745,0.086,""
220,-1002921,1363734,"","","","","","","",122.822,0.545,31.964,0.049,0.097
12427,14918,-1002740,10.885,48.927,13.253,"","",6.640,"",87.968,16.927,32.920,3.480,0.224
7084,-1740853,142328,7.670,"","","","","","",70.483,0.409,37.081,0.711,0.714
12304,-697569,-926403,1.478,"","","","",0.010,0.005,87.948,0.475,35.780,0.238,0.027
12329,472945,-926403,32.096,121.898,47.972,"","",18.011,0.191,253.715,38.109,36.778,7.055,0.293
12335,676513,-926403,99.217,"","","","",62.901,6.004,294.439,67.444,45.223,26.696,""
7699,1796135,65990,27.521,"","","","",9.364,0.828,31.730,8.369,23.848,0.440,0.047
30,-1995313,1490964,0.052,"","","","","","",13.190,0.003,34.209,0.211,0.034
5775,1821581,371341,2.976,"","","","","",0.114,22.981,1.841,27.180,0.163,0.108
12252,-748461,-900957,1.668,"","","","",0.012,0.006,99.256,0.536,40.380,0.268,0.030
764,396607,1211058,1.129,1.136,"","","","","",37.299,0.153,35.399,0.159,""
24,-1766299,1516410,1.622,"","","","","",0.001,138.222,0.390,42.675,0.154,0.137
14,-2071651,1516410,1.005,"","","","","","",234.588,0.358,57.172,7.856,0.154
2379,727405,905707,7.857,0.339,"","","","",0.003,53.587,0.016,37.599,0.187,0.138
352,-544893,1312842,"","","","","","","",81.460,0.839,36.964,0.161,0.192
456,2050595,1287396,858.534,776.906,"",189.300,"","","",930.097,0.285,29.887,"",0.054
553,2025149,1261950,858.534,789.818,"",208.367,"","","",930.097,0.285,29.887,"",0.054
554,2050595,1261950,858.534,776.906,"",189.300,"","","",930.097,0.285,29.887,"",0.054
658,2050595,1236504,858.534,776.906,"",189.300,"","","",930.097,0.285,29.887,"",0.054
770,2050595,1211058,858.534,776.906,"",189.300,"","","",930.097,0.285,29.887,"",0.054
1123,1923365,1134720,253.807,1413.180,"",1398.700,"","",0.031,352.548,0.128,50.227,0.088,0.071
2087,829189,956598,70.875,4.800,"","","","","",185.723,0.191,44.885,0.068,0.099
11606,-901137,-697389,1.197,"","","","",0.008,0.004,29.666,0.161,43.111,0.769,1.071
10257,-1613624,-392037,78.681,"","","","","",0.255,1206.924,42.067,41.043,0.789,0.142
657,2025149,1236504,906.181,890.332,"",356.789,"","",0.032,983.354,0.301,33.062,0.009,0.071
11953,1134540,-773727,5.305,18.140,9.087,"","",1.576,0.014,17.716,3.428,39.586,8.767,0.273
1940,829189,982044,79.213,1.008,"","","","","",207.573,0.213,48.405,0.074,0.107
1816,2126932,1007490,60.820,16.147,"",0.946,"","",0.242,53.936,0.054,43.881,0.165,0.113
12255,-672123,-900957,1.997,"","","","",0.014,0.007,118.856,0.642,48.354,0.321,0.037
3987,-2351556,625801,4.114,"","","","","",0.006,111.227,0.514,51.663,0.879,0.196
8653,1796135,-86686,66.847,"","","","",21.072,1.853,132.185,28.396,47.356,15.266,0.101
7082,-1791745,142328,40.684,"","","","","",0.018,77.068,0.564,54.418,0.569,0.253
9264,-2071651,-213916,15.665,"","","","","",0.120,37.306,1.160,50.957,0.483,0.126
455,2025149,1287396,857.064,776.906,"",189.300,"","",0.039,1031.244,1.420,38.848,0.035,0.068
127,-1333718,1414626,0.361,"","","","","",0.001,442.663,0.306,46.217,0.196,0.074
3142,1083648,778477,10.557,1059.460,"","","","",0.001,60.126,0.031,52.990,0.296,0.124
10754,-1588178,-493821,6.106,"","","","","",0.020,10.427,0.051,44.522,0.670,0.102
6261,-2300665,269558,19.410,"","","","","",0.126,31.330,1.652,50.882,0.724,0.096
1817,2152378,1007490,130.329,"","","","","",0.518,115.577,0.116,48.235,0.259,0.124
4828,-1384610,498571,39.297,"","","","","","",739.240,4.289,57.125,1.291,0.156
168,-1181042,1389180,"","","","","","","",135.049,"",61.961,0.149,0.081
769,2025149,1211058,1175.994,1012.870,"",537.737,"","",0.210,1284.940,0.388,49.659,0.058,0.162
9850,-1740853,-315700,71.687,"","","","","",0.133,4155.310,144.252,136.911,6.272,0.312
9988,-1766299,-341146,71.687,"","","","","",0.133,4155.310,144.252,136.911,6.272,0.312
9989,-1740853,-341146,71.687,"","","","","",0.133,4155.310,144.252,136.911,6.272,0.312
4193,-1130150,600355,1.786,"","","","","",0.003,438.253,5.624,63.715,0.548,0.241
4354,-1079258,574909,1.170,"","","","","",0.001,438.253,5.624,63.715,0.548,0.241
4355,-1053813,574909,0.871,"","","","","",0.002,438.253,5.624,63.715,0.548,0.241
4356,-1028367,574909,1.076,"","","","","",0.002,438.253,5.624,63.715,0.548,0.241
4357,-1002921,574909,0.708,"","","","","",0.001,438.253,5.624,63.715,0.548,0.241
4358,-977475,574909,0.021,"","","","","","",438.253,5.624,63.715,0.548,0.241
4515,-1053813,549463,0.699,"","","","","","",438.253,5.624,63.715,0.548,0.241
4516,-1028367,549463,0.053,"","","","","","",438.253,5.624,63.715,0.548,0.241
4517,-1002921,549463,"","","","","","","",438.253,5.624,63.715,0.548,0.241
4518,-977475,549463,"","","","","","","",438.253,5.624,63.715,0.548,0.241
4676,-1053813,524017,0.911,"","","","","","",438.253,5.624,63.715,0.548,0.241
4677,-1028367,524017,0.743,"","","","","","",438.253,5.624,63.715,0.548,0.241
4678,-1002921,524017,0.421,"","","","","","",438.253,5.624,63.715,0.548,0.241
4840,-1079258,498571,0.912,"","","","","","",438.253,5.624,63.715,0.548,0.241
4841,-1053813,498571,0.912,"","","","","","",438.253,5.624,63.715,0.548,0.241
4842,-1028367,498571,0.912,"","","","","","",438.253,5.624,63.715,0.548,0.241
4843,-1002921,498571,0.912,"","","","","","",438.253,5.624,63.715,0.548,0.241
5007,-1028367,473125,0.912,"","","","","","",438.139,5.617,63.744,0.548,0.242
9709,-1766299,-290254,71.687,"","","","","",0.133,4136.656,143.584,136.898,6.261,0.312
5008,-1002921,473125,0.912,"","","","","","",438.153,5.611,64.281,0.563,0.244
949,-875691,1160166,"","","","","","","",92.624,"",62.197,0.206,0.067
950,-850245,1160166,"","","","","","","",92.624,"",62.197,0.206,0.067
951,-824799,1160166,"","","","","","","",92.624,"",62.197,0.206,0.067
952,-799353,1160166,"","","","","","","",92.624,"",62.197,0.206,0.067
1069,-875691,1134720,"","","","","","","",92.624,"",62.197,0.206,0.067
1070,-850245,1134720,"","","","","","","",92.624,"",62.197,0.206,0.067
1071,-824799,1134720,"","","","","","","",92.624,"",62.197,0.206,0.067
1072,-799353,1134720,"","","","","","","",92.624,"",62.197,0.206,0.067
1190,-850245,1109274,"","","","","","","",92.624,"",62.197,0.206,0.067
1191,-824799,1109274,"","","","","","","",92.624,"",62.197,0.206,0.067
1192,-799353,1109274,"","","","","","","",92.624,"",62.197,0.206,0.067
11106,-1460948,-570159,2.235,"","","","","",0.007,29.610,0.139,59.422,0.352,0.180
3620,752851,702139,5.986,6.895,"","","","",0.033,59.279,0.175,61.105,0.442,0.201
278,-850245,1338288,"","","","","","","",74.507,0.014,58.834,0.069,0.037
5006,-1053813,473125,0.912,"","","","","","",430.282,5.165,65.722,0.525,0.266
12334,651067,-926403,122.235,"","","","",77.494,7.397,362.749,83.091,67.648,32.486,""
3826,2025149,676693,67.299,"","","","","",0.774,32.268,0.132,69.354,0.726,0.339
1381,2203270,1083828,37.909,"","","","","",0.040,34.729,0.010,61.909,0.440,0.057
7243,-1740853,116882,91.683,"","","","","",0.045,72.500,0.525,64.643,1.002,0.966
12552,1541675,-1129970,4.497,"","","","",0.108,0.054,2.827,1.726,61.177,10.290,0.210
1242,1897919,1109274,90.639,1020.990,"",852.437,1.215,"",0.048,236.159,0.096,64.176,0.180,0.104
1068,-901137,1134720,"","","","","","","",94.581,"",64.964,0.264,0.087
8966,1770689,-137578,128.756,"","","","",30.970,2.407,440.084,48.976,64.033,0.273,0.188
2280,-1791745,905707,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2425,-1893529,880261,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2426,-1868083,880261,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2427,-1842637,880261,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2428,-1817191,880261,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2429,-1791745,880261,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2573,-1893529,854815,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2574,-1868083,854815,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2575,-1842637,854815,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2576,-1817191,854815,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2723,-1868083,829369,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2724,-1842637,829369,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2725,-1817191,829369,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2872,-1868083,803923,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2873,-1842637,803923,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2874,-1817191,803923,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
3028,-1868083,778477,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
3029,-1842637,778477,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
3030,-1817191,778477,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
3191,-1868083,753031,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
3192,-1842637,753031,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
3193,-1817191,753031,6.346,"","","","","",0.034,176.389,0.734,59.545,0.223,0.139
2131,-1791745,931152,6.346,"","","","","",0.034,176.472,0.733,59.600,0.223,0.140
171,2025149,1389180,226.452,248.124,"",60.458,"","",0.262,931.589,7.657,66.647,0.225,0.108
9849,-1766299,-315700,71.687,"","","","","",0.133,4155.310,144.252,143.071,8.348,0.326
12126,-646677,-850065,2.713,"","","","",0.019,0.009,161.448,0.872,65.681,0.436,0.050
2577,-1791745,854815,6.346,"","","","","",0.034,189.736,0.790,62.669,0.452,0.158
767,1974257,1211058,1326.425,1182.000,"",787.475,"","",0.541,1465.156,0.433,68.623,0.149,0.309
12032,1109094,-799173,8.397,48.050,16.877,"","",2.293,0.026,30.023,5.622,55.654,11.324,0.397
1189,-875691,1109274,"","","","","","","",102.909,0.007,70.712,0.265,0.116
831,-799353,1185612,"","","","","","","",175.276,0.155,70.771,0.196,0.122
2722,-1893529,829369,6.346,"","","","","",0.034,179.684,0.560,67.954,0.285,0.149
1004,1948811,1160166,690.207,1523.460,"",1684.580,"","",0.169,759.252,0.338,91.503,0.196,0.101
3190,-1893529,753031,6.346,"","","","","",0.034,180.148,0.535,69.138,0.294,0.151
12176,625621,-850065,749.736,8.281,2.243,"","",418.322,15.281,1377.836,231.135,97.952,31.022,0.667
948,-901137,1160166,"","","","","","","",100.829,0.001,70.985,0.301,0.101
551,1974257,1261950,1428.733,1182.000,"",787.475,"","",0.583,1578.166,0.466,74.012,0.161,0.333
95,-1435502,1440072,0.147,"","","","","","",101.253,0.022,71.314,0.280,0.147
664,2203270,1236504,554.005,"","","","","",2.266,388.789,0.482,64.449,0.265,0.127
2279,-1817191,905707,6.346,"","","","","",0.034,176.389,0.734,68.007,0.268,0.159
12225,218485,-875511,30.123,494.216,206.936,"","",5.586,1.119,102.534,7.035,77.309,1.004,0.475
2572,-1918975,854815,6.346,"","","","","",0.034,181.690,0.454,73.070,0.323,0.155
12305,-468555,-926403,1.060,"","","","","",0.261,39.088,2.143,70.109,1.364,0.309
6277,-1893529,269558,24.821,"","","","","",0.114,43.814,0.070,54.541,0.139,0.117
6278,-1868083,269558,10.684,"","","","","","",43.814,0.070,54.541,0.139,0.117
6438,-1893529,244112,13.307,"","","","","",0.021,43.814,0.070,54.541,0.139,0.117
6439,-1868083,244112,10.684,"","","","","","",43.814,0.070,54.541,0.139,0.117
6600,-1868083,218666,8.968,"","","","","","",43.814,0.070,54.541,0.139,0.117
6116,-1868083,295003,12.440,"","","","","","",44.651,0.132,54.617,0.141,0.118
3027,-1893529,778477,6.346,"","","","","",0.034,183.386,0.364,77.397,0.355,0.160
4359,-952029,574909,"","","","","","","",435.166,5.221,81.360,1.013,0.322
5148,-1639070,447679,1.463,"","","","","","",285.217,0.281,72.596,0.810,0.224
5312,-1639070,422233,1.463,"","","","","","",285.217,0.281,72.596,0.810,0.224
5313,-1613624,422233,1.463,"","","","","","",285.217,0.281,72.596,0.810,0.224
5314,-1588178,422233,1.463,"","","","","","",285.217,0.281,72.596,0.810,0.224
5315,-1562732,422233,1.463,"","","","","","",285.217,0.281,72.596,0.810,0.224
5316,-1537286,422233,1.463,"","","","","","",285.217,0.281,72.596,0.810,0.224
5476,-1639070,396787,4.288,"","","","","","",285.217,0.281,72.596,0.810,0.224
5478,-1588178,396787,1.896,"","","","","","",285.217,0.281,72.596,0.810,0.224
5479,-1562732,396787,1.463,"","","","","","",285.217,0.281,72.596,0.810,0.224
5642,-1562732,371341,6.707,"","","","","","",285.217,0.281,72.596,0.810,0.224
5804,-1562732,345895,7.473,"","","","","","",285.217,0.281,72.596,0.810,0.224
5966,-1562732,320449,7.473,"","","","","","",285.217,0.281,72.596,0.810,0.224
9710,-1740853,-290254,71.687,"","","","","",0.133,3595.706,124.209,136.515,5.946,0.313
1067,-926583,1134720,"","","","","","","",100.820,"",73.784,0.448,0.151
1187,-926583,1109274,"","","","","","","",100.820,"",73.784,0.448,0.151
12107,1083648,-824619,5.111,48.128,14.207,"","",1.396,0.016,18.275,3.422,76.262,9.747,0.543
4839,-1104704,498571,0.912,"","","","","","",438.253,5.624,81.090,0.708,0.307
2721,-1918975,829369,6.346,"","","","","",0.034,184.106,0.326,79.234,0.369,0.162
4194,-1104704,600355,1.789,"","","","","",0.004,429.719,5.430,80.997,0.638,0.295
5005,-1079258,473125,0.912,"","","","","","",409.852,4.402,87.251,0.628,2.553
5773,1770689,371341,115.240,2108.300,1.281,1098.140,60.225,0.816,28.295,338.120,54.566,80.673,6.164,0.259
351,-570339,1312842,"","","","","","","",152.694,1.572,69.288,0.301,0.360
170,1999703,1389180,276.482,214.135,"",52.176,"","",0.320,1137.405,9.349,81.922,0.277,0.132
5480,-1537286,396787,1.463,"","","","","","",285.581,0.280,74.561,0.813,0.240
6440,-1842637,244112,10.684,"","","","","","",44.492,0.080,57.753,0.283,0.135
2726,-1791745,829369,6.346,"","","","","",0.034,276.493,1.154,82.974,1.943,0.276
6128,-1562732,295003,7.473,"","","","","","",279.004,0.278,75.630,0.945,0.315
2230,727405,931152,11.716,0.020,"","","","",0.003,287.992,0.166,76.630,0.283,0.257
1188,-901137,1109274,"","","","","","","",114.742,0.015,81.561,0.375,0.181
8868,-723015,-137578,77.657,"","","","","",0.195,158.521,"",81.730,0.470,""
2424,-1918975,880261,6.346,"","","","","",0.034,186.191,0.216,84.554,0.408,0.169
4378,-468555,574909,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4379,-443109,574909,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4380,-417664,574909,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4381,-392218,574909,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4382,-366772,574909,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4538,-468555,549463,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4539,-443109,549463,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4540,-417664,549463,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4541,-392218,549463,"","","","","","","",284.802,0.167,74.002,0.363,0.156
4542,-366772,549463,"","","","","","","",284.802,0.167,74.002,0.363,0.156
12579,-163204,-1180862,497.315,11.078,1.414,"","",0.578,5.445,100.331,"",61.532,1.183,0.243
2871,-1893529,803923,6.346,"","","","","",0.034,186.698,0.190,85.847,0.418,0.170
163,-1308272,1389180,0.276,"","","","","",0.001,1039.666,0.429,65.195,0.216,0.089
10433,-392218,-417483,"","","","","","","",127.006,8.212,78.284,"",0.179
5311,-1664516,422233,1.463,"","","","","","",238.051,0.223,82.141,0.791,0.269
12053,-595785,-824619,4.917,"","","","",0.034,0.017,191.610,0.197,97.188,0.889,0.256
6115,-1893529,295003,37.616,"","","","","",0.213,215.060,12.732,70.097,0.422,0.347
1556,-1359164,1032936,"","","","","","","",367.343,0.314,81.079,0.119,0.114
1557,-1333718,1032936,"","","","","","","",367.343,0.314,81.079,0.119,0.114
1704,-1359164,1007490,"","","","","","","",367.343,0.314,81.079,0.119,0.114
2002,-1333718,956598,"","","","","","","",367.343,0.314,81.079,0.119,0.114
6766,-1715407,193220,10.082,"","","","","","",60.966,0.185,90.678,1.738,1.747
9021,-672123,-163024,190.229,"","","","","",0.133,166.395,0.083,85.613,0.558,0.027
9020,-697569,-163024,216.058,"","","","","",0.119,178.127,0.095,86.289,0.551,0.030
552,1999703,1261950,1725.040,1165.290,"",762.800,"","",0.573,1898.637,0.565,83.958,0.159,0.348
2301,-1257380,905707,0.084,"","","","","","",355.063,0.299,83.793,0.199,0.120
4519,-952029,549463,"","","","","","","",433.543,5.010,90.639,1.257,0.365
3357,-1817191,727585,12.977,"","","","","",0.079,211.512,0.989,83.907,1.088,0.268
9263,-2147989,-213916,18.419,"","","","","","",3245.284,18.918,56.147,5.013,0.159
830,-824799,1185612,"","","","","","","",343.994,0.472,88.273,0.175,0.236
277,-875691,1338288,"","","","","","","",106.646,0.020,84.212,0.099,0.052
2275,-1918975,905707,6.346,"","","","","",0.034,189.530,0.040,93.072,0.472,0.178
5149,-1613624,447679,1.463,"","","","","","",276.881,0.400,83.140,1.169,0.261
655,1974257,1236504,1762.583,1182.000,"",787.475,"","",0.719,1946.933,0.575,91.296,0.199,0.411
