"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1970","black_1970","total_1910","black_1910","total_2010","black_2010","jail_2010","jail_black_2010"
10383,-1664516,-417483,78.335,"","","","","",0.254,1509.031,49.394,191.845,2.679,"","","",""
10384,-1639070,-417483,78.681,"","","","","",0.255,1515.700,49.612,192.693,2.691,"","","",""
12610,1490783,-1231754,0.049,"","","","",0.010,0.002,78.032,3.118,5.046,1.020,0.086,0.021,0.001,0.001
12026,701959,-799173,1.810,1.000,1.000,"","",0.995,0.029,3.100,0.484,2.318,1.267,0.171,0.029,0.002,0.001
12103,676513,-824619,4.525,3.000,3.000,"","",2.487,0.072,7.751,1.209,5.795,3.168,0.429,0.073,0.004,0.002
766,574729,1211058,22.943,"","","","","",0.154,16.092,0.142,50.864,0.021,"","","",""
1003,523837,1160166,26.958,"","","","","",0.181,18.908,0.167,59.765,0.025,"","","",""
221,-977475,1363734,"","","","","","","",0.476,"",0.319,0.001,0.337,"","",""
10991,-1511840,-544713,0.063,"","","","","","",0.236,0.001,0.497,0.006,0.489,0.002,0.001,""
12622,1516229,-1257200,1.378,4.000,"","","",0.048,0.020,1889.838,75.524,122.198,24.696,2.073,0.518,0.018,0.020
